Original signal,1 mode
1.03,1.0873686990735068
0.904,1.0869474048739907
0.904,1.087744932884366
1.85,1.0891731447263617
1.878,1.0869635786976415
1.092,1.0813578148377205
0.924,1.0773088257141146
0.944,1.0725011552928714
0.92,1.0677625831632849
0.928,1.0663152014376442
0.944,1.0629271083986729
0.896,1.059607461496085
0.93,1.0584136520601855
1.098,1.0561748621683502
0.9,1.0525041219061984
0.928,1.0497051804109123
0.964,1.0487514065605383
0.916,1.0494029614894005
1.02,1.0487971920792623
0.92,1.0483135415828297
1.962,1.0489637764508832
0.946,1.0443563920134098
0.92,1.039965328205731
1.88,1.0374645430483498
0.918,1.0309956421195405
0.972,1.025641656156981
0.896,1.020895564184257
0.942,1.0151698772809126
0.9,1.0089601453547303
1.09,1.0037071127631267
0.976,0.9980647855325109
0.926,0.992757340789209
0.904,0.9864986786990323
0.956,0.982889948224296
0.964,0.9781543920575694
1.052,0.9732805218256235
0.9,0.9703152091927322
0.972,0.9668332534780227
0.928,0.9630374855743864
0.906,0.9599762619042111
0.878,0.9572626370699497
0.978,0.955302800325476
0.876,0.9524633162325208
0.936,0.9506649531129644
1.01,0.9496902665040743
1.05,0.9493109161074083
0.922,0.9506594947806439
1.98,0.9538234873534263
0.87,0.9548878490119016
1.902,0.9604653496775672
0.932,0.9661664320951394
0.892,0.9771071069703752
0.94,0.9952587175928511
0.884,1.0216041799543396
0.976,1.0588181955483782
0.92,1.1081239409501795
0.908,1.1692724006304498
0.904,1.2441844592548246
1.052,1.3315947416758602
0.964,1.4275458324865495
0.93,1.5271244178870476
0.964,1.6234219805293515
0.994,1.7060117003138335
0.906,1.7741663158044558
0.994,1.8408432267513872
0.928,1.9262665541197792
0.968,2.0312068798416747
0.98,2.145770398403205
0.872,2.248909979627432
0.94,2.3521531500227644
0.908,2.4579143188817953
0.948,2.573777151864908
1.124,2.674680002939948
0.89,2.784822510891283
0.93,2.9160597868170117
1.82,3.044195836761714
1.93,3.173417607954229
0.962,3.3028561673448062
0.954,3.4385088863091036
1.002,3.5806171058326592
0.936,3.7375386799354047
0.92,3.9049177764514074
1.03,4.079778827453902
9.862,4.276292031770343
17.884,4.4664261275773836
27.108,4.613848789557724
6.612,4.682828322278157
5.948,4.758887803088267
5.2,4.838012389413987
4.534,4.906107643989961
5.314,4.981910008419298
4.652,5.054806063887816
7.676,5.1205477730775035
2.914,5.167225861133497
6.33,5.1968004276756385
2.824,5.198317605457428
1.856,5.2029056964759794
5.754,5.234148817632187
2.366,5.263805064188026
3.086,5.28845379004564
3.688,5.299271421958039
3.238,5.317255391946302
3.56,5.330042110680542
3.336,5.340322957695624
9.778,5.347565843566041
4.9,5.367218732429329
4.718,5.408348698966404
5.004,5.449373578623805
4.934,5.478402563558601
6.18,5.48355821654606
