Time Series,Component,AIC
TS1,Trend,7063.22869
TS1,Season,7067.55012
TS1,Noise,-799.3478440625804
TS1,Noise-freg,4122.659247968417
TS2,Trend,7985.91791
TS2,Season,7286.28362
TS2,Noise,8510.325765077212
TS2,Noise-freg,9886.051078438204
TS3,Trend,7054.07267
TS3,Season,7051.75960
TS3,Noise,-912.33697581989
TS3,Noise-freg,4379.347157829483
TS4,Trend,7598.81638
TS4,Season,7598.97264
TS4,Noise,-1773.7175002726838
TS4,Noise-freg,4359.549712475357
TS5,Trend,6982.14088
TS5,Season,6991.23084
TS5,Noise,-634.0984978091989
TS5,Noise-freg,4017.948581891843
TS6,Trend,6783.74477
TS6,Season,6792.57837
TS6,Noise,-790.4114638734596
TS6,Noise-freg,3984.4154973284276
TS7,Trend,7058.42980
TS7,Season,7016.38725
TS7,Noise,-517.2547460895765
TS7,Noise-freg,4348.240711146623
