Time Series,Component,BIC
TS1,Trend,7089.79479
TS1,Season,7094.11622
TS1,Noise,-772.781742127129
TS1,Noise-freg,4145.7662762272375
TS2,Trend,8012.48401
TS2,Season,7312.84973
TS2,Noise,8536.891867012664
TS2,Noise-freg,9909.158106697025
TS3,Trend,7080.63878
TS3,Season,7078.32570
TS3,Noise,-885.7708738844385
TS3,Noise-freg,4402.454186088304
TS4,Trend,7625.38248
TS4,Season,7625.53875
TS4,Noise,-1747.1513983372322
TS4,Noise-freg,4382.656740734178
TS5,Trend,7008.70698
TS5,Season,7017.79695
TS5,Noise,-607.5323958737474
TS5,Noise-freg,4041.0556101506636
TS6,Trend,6810.31087
TS6,Season,6819.14447
TS6,Noise,-763.8453619380082
TS6,Noise-freg,4007.5225255872483
TS7,Trend,7084.99590
TS7,Season,7042.95335
TS7,Noise,-490.68864415412503
TS7,Noise-freg,4371.3477394054435
