Time Series,Component,R2
TS1,Trend,0.66881
TS1,Season,0.86505
TS1,Noise,0.41117859810201085
TS1,Noise-freg,0.269840640346655
TS2,Trend,-0.40945
TS2,Season,0.84387
TS2,Noise,-291.01836930371564
TS2,Noise-freg,-1570.5184336166747
TS3,Trend,-0.11981
TS3,Season,0.86647
TS3,Noise,0.4539028844434607
TS3,Noise-freg,-0.027678476731139545
TS4,Trend,0.90670
TS4,Season,0.80768
TS4,Noise,0.6924790717502162
TS4,Noise-freg,-0.0009413498658419339
TS5,Trend,0.68618
TS5,Season,0.87175
TS5,Noise,0.34260231095959304
TS5,Noise-freg,0.3648669565440327
TS6,Trend,0.45805
TS6,Season,0.88765
TS6,Noise,0.40766017324060166
TS6,Noise-freg,0.3926026135372428
TS7,Trend,0.00000
TS7,Season,-0.00271
TS7,Noise,-0.0027105970440577387
TS7,Noise-freg,-3.556974726112313
