Time Series,Component,R2Adj
TS1,Trend,0.66770
TS1,Season,0.86460
TS1,Noise,0.40920797761373107
TS1,Noise-freg,0.26494024195971977
TS2,Trend,-0.41417
TS2,Season,0.84334
TS2,Noise,-291.9956730831792
TS2,Noise-freg,-1581.0655371979944
TS3,Trend,-0.12356
TS3,Season,0.86602
TS3,Noise,0.4520752501879167
TS3,Noise-freg,-0.03457564771591226
TS4,Trend,0.90639
TS4,Season,0.80703
TS4,Noise,0.6914498852433562
TS4,Noise-freg,-0.007659077046149765
TS5,Trend,0.68513
TS5,Season,0.87132
TS5,Noise,0.3404021848249197
TS5,Noise-freg,0.3606043186684893
TS6,Trend,0.45624
TS6,Season,0.88728
TS6,Noise,0.40567777756871615
TS6,Noise-freg,0.3885261210106471
TS7,Trend,-0.00335
TS7,Season,-0.00607
TS7,Noise,-0.0060663888681677935
TS7,Noise-freg,-3.5875584491063552
