Time Series,Component,R2,R2Adj,AIC,BIC
TS1,Trend,0.66881,0.6677,7063.22869,7089.79479
TS1,Season,0.86505,0.8646,7067.55012,7094.11622
TS1,Noise,0.411178598,0.409207978,-799.3478441,-772.7817421
TS1,Noise-freg,0.26984064,0.264940242,4122.659248,4145.766276
TS2,Trend,-0.40945,-0.41417,7985.91791,8012.48401
TS2,Season,0.84387,0.84334,7286.28362,7312.84973
TS2,Noise,-291.0183693,-291.9956731,8510.325765,8536.891867
TS2,Noise-freg,-1570.518434,-1581.065537,9886.051078,9909.158107
TS3,Trend,-0.11981,-0.12356,7054.07267,7080.63878
TS3,Season,0.86647,0.86602,7051.7596,7078.3257
TS3,Noise,0.453902884,0.45207525,-912.3369758,-885.7708739
TS3,Noise-freg,-0.027678477,-0.034575648,4379.347158,4402.454186
TS4,Trend,0.9067,0.90639,7598.81638,7625.38248
TS4,Season,0.80768,0.80703,7598.97264,7625.53875
TS4,Noise,0.692479072,0.691449885,-1773.7175,-1747.151398
TS4,Noise-freg,-0.00094135,-0.007659077,4359.549712,4382.656741
TS5,Trend,0.68618,0.68513,6982.14088,7008.70698
TS5,Season,0.87175,0.87132,6991.23084,7017.79695
TS5,Noise,0.342602311,0.340402185,-634.0984978,-607.5323959
TS5,Noise-freg,0.364866957,0.360604319,4017.948582,4041.05561
TS6,Trend,0.45805,0.45624,6783.74477,6810.31087
TS6,Season,0.88765,0.88728,6792.57837,6819.14447
TS6,Noise,0.407660173,0.405677778,-790.4114639,-763.8453619
TS6,Noise-freg,0.392602614,0.388526121,3984.415497,4007.522526
TS7,Trend,0,-0.00335,7058.4298,7084.9959
TS7,Season,-0.00271,-0.00607,7016.38725,7042.95335
TS7,Noise,-0.002710597,-0.006066389,-517.2547461,-490.6886442
TS7,Noise-freg,-3.556974726,-3.587558449,4348.240711,4371.347739
