Time Series,Metric,Trend/Season/Noise,IMFs,alpha,tau,W init
TS1,BIC,Trend,1 --- 1,50000,0,15001
TS1,BIC,Season,2 --- 2,500,0,5001
TS2,BIC,Trend,1 --- 1,50000,0,35001
TS2,BIC,Season,2 --- 2,1000,0,1
TS3,BIC,Trend,1 --- 1,50000,0,15001
TS3,BIC,Season,2 --- 2,500,0,5001
TS4,BIC,Trend,1 --- 1,50000,0,5001
TS4,BIC,Season,2 --- 2,500,0,10001
TS5,BIC,Trend,1 --- 1,50000,0,15001
TS5,BIC,Season,2 --- 2,500,3,30001
TS6,BIC,Trend,1 --- 1,50000,0,5001
TS6,BIC,Season,2 --- 2,500,3,30001
TS7,BIC,Trend,1 --- 1,50000,0,7501
TS7,BIC,Season,2 --- 2,500,3,35001
TS7,BIC,Season,2 --- 3,7500,0,1
TS7,BIC,Season,2 --- 4,7500,0,501
