Time Series,Metric,Trend/Season/Noise,IMFs,alpha,tau,W init
TS1,R2Adj,Trend,1 --- 1,50000,0,15001
TS1,R2Adj,Season,2 --- 2,500,0,5001
TS2,R2Adj,Trend,1 --- 1,50000,0,35001
TS2,R2Adj,Season,2 --- 2,1000,0,1
TS3,R2Adj,Trend,1 --- 1,50000,0,15001
TS3,R2Adj,Season,2 --- 2,500,0,5001
TS4,R2Adj,Trend,1 --- 1,50000,0,5001
TS4,R2Adj,Season,2 --- 2,500,0,10001
TS5,R2Adj,Trend,1 --- 1,50000,0,15001
TS5,R2Adj,Season,2 --- 2,500,3,30001
TS6,R2Adj,Trend,1 --- 1,50000,0,5001
TS6,R2Adj,Season,2 --- 2,500,3,30001
TS7,R2Adj,Trend,1 --- 1,0,0,1
TS7,R2Adj,Season,2 --- 2,0,0,1
TS7,R2Adj,Season,2 --- 3,0,0,1
TS7,R2Adj,Season,2 --- 4,0,0,1
TS7,R2Adj,Season,2 --- 5,0,0,1
TS7,R2Adj,Season,2 --- 6,0,0,1
TS7,R2Adj,Season,2 --- 7,0,0,1
TS7,R2Adj,Season,2 --- 8,0,0,1
TS7,R2Adj,Season,2 --- 9,0,0,1
