Time Series,IMFs,Metric,alpha,tau,W init,fs,tol
TS1,2 - 3,R2Adj,500,1,5001,0,1e-06
TS1,2 - 4,R2Adj,1000,3,10001,0,1e-06
TS1,2 - 5,R2Adj,20000,0,501,0,1e-06
TS2,2 - 3,R2Adj,500,1,5001,0,1e-06
TS2,2 - 4,R2Adj,1000,3,10001,0,1e-06
TS2,2 - 5,R2Adj,500,0,1001,0,1e-06
TS3,3 - 4,R2Adj,500,1,5001,0,1e-06
TS3,3 - 5,R2Adj,20000,0,501,0,1e-06
TS5,2 - 3,R2Adj,500,3,1001,0,1e-06
TS5,2 - 4,R2Adj,1000,3,10001,0,1e-06
TS5,2 - 5,R2Adj,500,0,1001,0,1e-06
TS6,2 - 3,R2Adj,500,3,1001,0,1e-06
TS6,2 - 4,R2Adj,500,0,1,0,1e-06
TS6,2 - 5,R2Adj,500,1,1,0,1e-06
TS7,2 - 3,R2Adj,20000,0,1,0,1e-06
TS7,2 - 4,R2Adj,20000,0,1,0,1e-06
TS7,2 - 5,R2Adj,5000,0,5001,0,1e-06
