Time Series,Metric,alpha,tau,K,DC,init,tol,IMFs
TS1,R2,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS1,R2_Adj,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS1,AIC,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS1,BIC,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS2,R2,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS2,R2_Adj,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS2,AIC,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS2,BIC,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS3,R2,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS3,R2_Adj,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS3,AIC,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS3,BIC,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS4,R2,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS4,R2_Adj,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS4,AIC,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS4,BIC,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS5,R2,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS5,R2_Adj,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS5,AIC,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS5,BIC,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS6,R2,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS6,R2_Adj,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS6,AIC,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS6,BIC,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS7,R2,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS7,R2_Adj,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS7,AIC,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
TS7,BIC,500,0,7,True,1,1e-06,F - SumIMFs(1 - 4)
