Time Series,Metric,alpha,tau,K,DC,init,tol,IMFs
TS1,R2,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS1,R2_Adj,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS1,AIC,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS1,BIC,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS2,R2,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS2,R2_Adj,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS2,AIC,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS2,BIC,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS3,R2,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS3,R2_Adj,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS3,AIC,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS3,BIC,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS4,R2,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS4,R2_Adj,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS4,AIC,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS4,BIC,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS5,R2,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS5,R2_Adj,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS5,AIC,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS5,BIC,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS6,R2,1000,0,7,True,2,1e-06,F - SumIMFs(1 - 7)
TS6,R2_Adj,1000,0,7,True,2,1e-06,F - SumIMFs(1 - 7)
TS6,AIC,1000,0,7,True,2,1e-06,F - SumIMFs(1 - 7)
TS6,BIC,1000,0,7,True,2,1e-06,F - SumIMFs(1 - 7)
TS7,R2,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS7,R2_Adj,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS7,AIC,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
TS7,BIC,1000,0,7,False,0,1e-06,F - SumIMFs(1 - 7)
