Time Series,Component,AIC
TS1,Trend,9659.99646
TS1,Season,9657.11088
TS1,Noise,-1488.789165788543
TS1,Noise-freg,4262.709226059669
TS2,Trend,9644.50412
TS2,Season,9177.46287
TS2,Noise,7990.37641962703
TS2,Noise-freg,9485.450262376015
TS3,Trend,10016.75061
TS3,Season,10021.26715
TS3,Noise,-0.6905997165958873
TS3,Noise-freg,5496.952093280482
TS4,Trend,9913.51283
TS4,Season,9911.02627
TS4,Noise,-1378.232569983229
TS4,Noise-freg,4093.984988131856
TS5,Trend,9644.50412
TS5,Season,9640.73568
TS5,Noise,-1378.5437796457775
TS5,Noise-freg,4076.520041273911
