Time Series,Component,BIC
TS1,Trend,9686.56256
TS1,Season,9683.67698
TS1,Noise,-1462.2230638530914
TS1,Noise-freg,4285.81625431849
TS2,Trend,9671.07022
TS2,Season,9204.02897
TS2,Noise,8016.9425215624815
TS2,Noise-freg,9508.557290634835
TS3,Trend,10043.31671
TS3,Season,10047.83325
TS3,Noise,25.87550221885562
TS3,Noise-freg,5520.059121539302
TS4,Trend,9940.07893
TS4,Season,9937.59237
TS4,Noise,-1351.6664680477775
TS4,Noise-freg,4117.092016390677
TS5,Trend,9671.07022
TS5,Season,9667.30178
TS5,Noise,-1351.977677710326
TS5,Noise-freg,4099.627069532731
