Time Series,Component,R2
TS1,Trend,-2.68737
TS1,Season,0.01738
TS1,Noise,0.6281482076341893
TS1,Noise-freg,0.12015349235826356
TS2,Trend,-2.64948
TS2,Season,-0.00092
TS2,Noise,-205.4759233996469
TS2,Noise-freg,-920.8425100978105
TS3,Trend,-3.67743
TS3,Season,0.00788
TS3,Noise,-0.0028097389393784145
TS3,Noise-freg,-3.5515055057198346
TS4,Trend,-3.36634
TS4,Season,0.00889
TS4,Noise,0.5997058049187788
TS4,Noise-freg,0.2971936627989592
TS5,Trend,-2.64948
TS5,Season,0.25938
TS5,Noise,0.599788846584939
TS5,Noise-freg,0.3133492556623515
