Time Series,Component,R2Adj
TS1,Trend,-2.69971
TS1,Season,0.01410
TS1,Noise,0.6269037237239958
TS1,Noise-freg,0.11424848223986261
TS2,Trend,-2.66169
TS2,Season,-0.00427
TS2,Noise,-206.16694054623207
TS2,Noise-freg,-927.0293725816884
TS3,Trend,-3.69309
TS3,Season,0.00456
TS3,Noise,-0.006165862563673574
TS3,Noise-freg,-3.5820525225367463
TS4,Trend,-3.38095
TS4,Season,0.00557
TS4,Noise,0.5983661322444775
TS4,Noise-freg,0.29247684174391875
TS5,Trend,-2.66169
TS5,Season,0.25690
TS5,Noise,0.5984494518278605
TS5,Noise-freg,0.30874086140505175
