Time Series,Component,R2,R2Adj,AIC,BIC
TS1,Trend,-2.68737,-2.69971,9659.99646,9686.56256
TS1,Season,0.01738,0.0141,9657.11088,9683.67698
TS1,Noise,0.628148208,0.626903724,-1488.789166,-1462.223064
TS1,Noise-freg,0.120153492,0.114248482,4262.709226,4285.816254
TS2,Trend,-2.64948,-2.66169,9644.50412,9671.07022
TS2,Season,-0.00092,-0.00427,9177.46287,9204.02897
TS2,Noise,-205.4759234,-206.1669405,7990.37642,8016.942522
TS2,Noise-freg,-920.8425101,-927.0293726,9485.450262,9508.557291
TS3,Trend,-3.67743,-3.69309,10016.75061,10043.31671
TS3,Season,0.00788,0.00456,10021.26715,10047.83325
TS3,Noise,-0.002809739,-0.006165863,-0.690599717,25.87550222
TS3,Noise-freg,-3.551505506,-3.582052523,5496.952093,5520.059122
TS4,Trend,-3.36634,-3.38095,9913.51283,9940.07893
TS4,Season,0.00889,0.00557,9911.02627,9937.59237
TS4,Noise,0.599705805,0.598366132,-1378.23257,-1351.666468
TS4,Noise-freg,0.297193663,0.292476842,4093.984988,4117.092016
TS5,Trend,-2.64948,-2.66169,9644.50412,9671.07022
TS5,Season,0.25938,0.2569,9640.73568,9667.30178
TS5,Noise,0.599788847,0.598449452,-1378.54378,-1351.977678
TS5,Noise-freg,0.313349256,0.308740861,4076.520041,4099.62707
