Time Series,Metric,Trend/Season/Noise,IMFs,alpha,tau,W init
TS1,BIC,Trend,1 --- 1,50000,0,5001
TS1,BIC,Season,2 --- 2,500,0,45001
TS1,BIC,Season,2 --- 3,7500,0,1
TS2,BIC,Trend,1 --- 1,50000,0,5001
TS2,BIC,Season,2 --- 2,50000,0,1001
TS3,BIC,Trend,1 --- 1,50000,0,20001
TS3,BIC,Season,2 --- 2,0,0,1
TS3,BIC,Season,2 --- 3,500,3,45001
TS3,BIC,Season,2 --- 4,2500,3,50001
TS3,BIC,Season,2 --- 5,7500,0,50001
TS3,BIC,Season,2 --- 6,15000,0,35001
TS3,BIC,Season,2 --- 7,20000,0,20001
TS3,BIC,Season,2 --- 8,25000,4,1001
TS3,BIC,Season,2 --- 9,40000,3,15001
TS4,BIC,Trend,1 --- 1,50000,0,5001
TS4,BIC,Season,2 --- 2,1000,0,45001
TS4,BIC,Season,2 --- 3,7500,0,1
TS5,BIC,Trend,1 --- 1,50000,0,5001
TS5,BIC,Season,2 --- 2,5000,2,50001
TS5,BIC,Season,2 --- 3,7500,0,1
