Time Series,IMFs,Metric,alpha,tau,W init,fs,tol
TS1,1 - 1,BIC,20000,0,1,20000,1e-06
TS1,1 - 2,BIC,0,0,False,20000,1e-06
TS1,1 - 3,BIC,0,0,False,20000,1e-06
TS1,1 - 4,BIC,0,0,False,20000,1e-06
TS1,1 - 5,BIC,0,0,False,20000,1e-06
TS2,1 - 1,BIC,20000,0,1,20000,1e-06
TS2,1 - 2,BIC,0,0,False,20000,1e-06
TS2,1 - 3,BIC,0,0,False,20000,1e-06
TS2,1 - 4,BIC,0,0,False,20000,1e-06
TS2,1 - 5,BIC,0,0,False,20000,1e-06
TS3,1 - 1,BIC,20000,0,1,20000,1e-06
TS3,1 - 2,BIC,0,0,False,20000,1e-06
TS3,1 - 3,BIC,0,0,False,20000,1e-06
TS3,1 - 4,BIC,0,0,False,20000,1e-06
TS3,1 - 5,BIC,0,0,False,20000,1e-06
TS4,1 - 1,BIC,20000,0,1,20000,1e-06
TS4,1 - 2,BIC,0,0,False,20000,1e-06
TS4,1 - 3,BIC,0,0,False,20000,1e-06
TS4,1 - 4,BIC,0,0,False,20000,1e-06
TS4,1 - 5,BIC,0,0,False,20000,1e-06
TS5,1 - 1,BIC,20000,0,1,20000,1e-06
TS5,1 - 2,BIC,0,0,False,20000,1e-06
TS5,1 - 3,BIC,0,0,False,20000,1e-06
TS5,1 - 4,BIC,0,0,False,20000,1e-06
TS5,1 - 5,BIC,0,0,False,20000,1e-06
