Time Series,IMFs,Metric,alpha,tau,W init,fs,tol
TS1,1 - 1,R2Adj,20000,0,1,20000,1e-06
TS1,1 - 2,R2Adj,0,0,False,20000,1e-06
TS1,1 - 3,R2Adj,0,0,False,20000,1e-06
TS1,1 - 4,R2Adj,0,0,False,20000,1e-06
TS1,1 - 5,R2Adj,0,0,False,20000,1e-06
TS2,1 - 1,R2Adj,20000,0,1,20000,1e-06
TS2,1 - 2,R2Adj,0,0,False,20000,1e-06
TS2,1 - 3,R2Adj,0,0,False,20000,1e-06
TS2,1 - 4,R2Adj,0,0,False,20000,1e-06
TS2,1 - 5,R2Adj,0,0,False,20000,1e-06
TS3,1 - 1,R2Adj,20000,0,1,20000,1e-06
TS3,1 - 2,R2Adj,0,0,False,20000,1e-06
TS3,1 - 3,R2Adj,0,0,False,20000,1e-06
TS3,1 - 4,R2Adj,0,0,False,20000,1e-06
TS3,1 - 5,R2Adj,0,0,False,20000,1e-06
TS4,1 - 1,R2Adj,20000,0,1,20000,1e-06
TS4,1 - 2,R2Adj,0,0,False,20000,1e-06
TS4,1 - 3,R2Adj,0,0,False,20000,1e-06
TS4,1 - 4,R2Adj,0,0,False,20000,1e-06
TS4,1 - 5,R2Adj,0,0,False,20000,1e-06
TS5,1 - 1,R2Adj,20000,0,1,20000,1e-06
TS5,1 - 2,R2Adj,0,0,False,20000,1e-06
TS5,1 - 3,R2Adj,0,0,False,20000,1e-06
TS5,1 - 4,R2Adj,0,0,False,20000,1e-06
TS5,1 - 5,R2Adj,0,0,False,20000,1e-06
