Time Series,Metric,alpha,tau,K,DC,init,tol,IMFs
TS1,R2,20000,0,7,False,0,1e-06,F - SumIMFs(1 - 6)
TS1,R2_Adj,20000,0,7,False,0,1e-06,F - SumIMFs(1 - 6)
TS1,AIC,20000,0,7,False,0,1e-06,F - SumIMFs(1 - 6)
TS1,BIC,20000,0,7,False,0,1e-06,F - SumIMFs(1 - 6)
TS2,R2,10000,0,5,True,0,1e-06,F - SumIMFs(1 - 5)
TS2,R2_Adj,10000,0,5,True,0,1e-06,F - SumIMFs(1 - 5)
TS2,AIC,10000,0,5,True,0,1e-06,F - SumIMFs(1 - 5)
TS2,BIC,10000,0,5,True,0,1e-06,F - SumIMFs(1 - 5)
TS3,R2,1000,0,5,False,1,1e-06,F - SumIMFs(1 - 5)
TS3,R2_Adj,1000,0,5,False,1,1e-06,F - SumIMFs(1 - 5)
TS3,AIC,1000,0,5,False,1,1e-06,F - SumIMFs(1 - 5)
TS3,BIC,1000,0,5,False,1,1e-06,F - SumIMFs(1 - 5)
TS4,R2,10000,0,7,True,2,1e-06,F - SumIMFs(1 - 4)
TS4,R2_Adj,10000,0,7,True,2,1e-06,F - SumIMFs(1 - 4)
TS4,AIC,10000,0,7,True,2,1e-06,F - SumIMFs(1 - 4)
TS4,BIC,10000,0,7,True,2,1e-06,F - SumIMFs(1 - 4)
TS5,R2,10000,0,7,True,2,1e-06,F - SumIMFs(1 - 5)
TS5,R2_Adj,10000,0,7,True,2,1e-06,F - SumIMFs(1 - 5)
TS5,AIC,10000,0,7,True,2,1e-06,F - SumIMFs(1 - 5)
TS5,BIC,10000,0,7,True,2,1e-06,F - SumIMFs(1 - 5)
