Time Series,Metric,K,alpha,DC,init,IMFs
TS1,R2,10,7500,False,0,1 + 4
TS1,R2_Adj,10,7500,False,0,1 + 4
TS1,AIC,10,7500,False,0,1 + 4
TS1,BIC,10,7500,False,0,1 + 4
TS2,R2,10,5000,True,0,1 + 4
TS2,R2_Adj,10,5000,True,0,1 + 4
TS2,AIC,10,5000,True,0,1 + 4
TS2,BIC,10,5000,True,0,1 + 4
TS3,R2,10,10000,True,0,1 + 9
TS3,R2_Adj,10,10000,True,0,1 + 9
TS3,AIC,10,10000,True,0,1 + 9
TS3,BIC,10,10000,True,0,1 + 9
TS4,R2,10,10000,True,0,1 + 9
TS4,R2_Adj,10,10000,True,0,1 + 9
TS4,AIC,10,10000,True,0,1 + 9
TS4,BIC,10,10000,True,0,1 + 9
TS5,R2,10,1000,False,1,1 + 9
TS5,R2_Adj,10,1000,False,1,1 + 9
TS5,AIC,10,1000,False,1,1 + 9
TS5,BIC,10,1000,False,1,1 + 9
