Time Series,Metric,K,alpha,DC,init,IMFs
TS1,R2,10,40000,True,0,2 + 6
TS1,R2_Adj,10,40000,True,0,2 + 6
TS1,AIC,10,40000,True,0,2 + 6
TS1,BIC,10,40000,True,0,2 + 6
TS2,R2,10,7500,False,2,2 + 3
TS2,R2_Adj,10,7500,False,2,2 + 3
TS2,AIC,10,7500,False,2,2 + 3
TS2,BIC,10,7500,False,2,2 + 3
TS3,R2,10,15000,True,2,2 + 6
TS3,R2_Adj,10,15000,True,2,2 + 6
TS3,AIC,10,15000,True,2,2 + 6
TS3,BIC,10,15000,True,2,2 + 6
TS4,R2,10,0,False,0,2 + 0
TS4,R2_Adj,10,0,False,0,2 + 0
TS4,AIC,10,0,False,0,2 + 0
TS4,BIC,10,0,False,0,2 + 0
TS5,R2,10,50000,False,2,2 + 6
TS5,R2_Adj,10,50000,False,2,2 + 6
TS5,AIC,10,50000,False,2,2 + 6
TS5,BIC,10,50000,False,2,2 + 6
