Time Series,Component,R2,R2Adj,AIC,BIC
TS1,Trend,0.00000,-0.00335,8997.26350,9023.82960
TS1,Season,-0.00013,-0.00347,6934.16226,6960.72836
TS1,Noise,-0.00122,-0.00457,9348.90793,9375.47403
TS1,Noise-freg,-0.03991,-0.04689,10592.44075,10615.54778
TS2,Trend,0.00000,-0.00335,8997.28079,9023.84689
TS2,Season,0.00000,-0.00335,10401.32568,10427.89178
TS2,Noise,-0.00122,-0.00458,10899.46836,10926.03446
TS2,Noise-freg,-0.03991,-0.04688,11132.65787,11155.76490
TS3,Trend,0.00000,-0.00335,8997.25073,9023.81683
TS3,Season,-0.00002,-0.00337,9614.59414,9641.16025
TS3,Noise,-0.00122,-0.00457,10384.55785,10411.12395
TS3,Noise-freg,-0.03991,-0.04689,10919.46916,10942.57619
TS4,Trend,0.00000,-0.00335,8997.28022,9023.84632
TS4,Season,-0.00001,-0.00335,10491.77412,10518.34023
TS4,Noise,-0.00122,-0.00458,9747.84501,9774.41112
TS4,Noise-freg,-0.03990,-0.04688,10373.97909,10397.08612
