Time Series,Metric,alpha,tau,K,DC,init,IMFs
TS1,R2,50000,0,3,True,2,1 + 0
TS1,R2_Adj,50000,0,3,True,2,1 + 0
TS1,AIC,50000,0,3,True,2,1 + 0
TS1,BIC,50000,0,3,True,2,1 + 0
TS2,R2,15000,0,3,True,0,1 + 6
TS2,R2_Adj,15000,0,3,True,0,1 + 6
TS2,AIC,15000,0,3,True,0,1 + 6
TS2,BIC,15000,0,3,True,0,1 + 6
TS3,R2,15000,0,3,True,0,1 + 3
TS3,R2_Adj,15000,0,3,True,0,1 + 3
TS3,AIC,15000,0,3,True,0,1 + 3
TS3,BIC,15000,0,3,True,0,1 + 3
TS4,R2,15000,0,3,True,0,1 + 3
TS4,R2_Adj,15000,0,3,True,0,1 + 3
TS4,AIC,15000,0,3,True,0,1 + 3
TS4,BIC,15000,0,3,True,0,1 + 3
