Time Series,Metric,K,alpha,DC,init,IMFs
TS1,R2,10,10000,False,0,10 + 7
TS1,R2_Adj,10,10000,False,0,10 + 7
TS1,AIC,10,10000,False,0,10 + 7
TS1,BIC,10,10000,False,0,10 + 7
TS2,R2,10,5000,True,0,10 + 2
TS2,R2_Adj,10,5000,True,0,10 + 2
TS2,AIC,10,5000,True,0,10 + 2
TS2,BIC,10,5000,True,0,10 + 2
TS3,R2,10,2500,True,2,10 + 5
TS3,R2_Adj,10,2500,True,0,10 + 4
TS3,AIC,10,2500,False,2,10 + 4
TS3,BIC,10,2500,True,0,10 + 4
TS4,R2,10,7500,True,0,10 + 3
TS4,R2_Adj,10,7500,True,0,10 + 3
TS4,AIC,10,7500,True,0,10 + 3
TS4,BIC,10,7500,True,0,10 + 3
