Time Series,Metric,K,alpha,DC,init,IMFs
TS1,R2,10,0,False,0,1 + 0
TS1,R2_Adj,10,0,False,0,1 + 0
TS1,AIC,10,10000,True,0,1 + 0
TS1,BIC,10,10000,True,0,1 + 0
TS2,R2,10,0,False,0,1 + 0
TS2,R2_Adj,10,0,False,0,1 + 0
TS2,AIC,10,5000,True,0,1 + 0
TS2,BIC,10,5000,True,0,1 + 0
TS3,R2,10,0,False,0,1 + 0
TS3,R2_Adj,10,0,False,0,1 + 0
TS3,AIC,10,10000,True,0,1 + 0
TS3,BIC,10,10000,True,0,1 + 0
TS4,R2,10,0,False,0,1 + 0
TS4,R2_Adj,10,0,False,0,1 + 0
TS4,AIC,10,7500,True,0,1 + 0
TS4,BIC,10,7500,True,0,1 + 0
