Time Series,Component,BIC
TS1,Trend,4686.94612
TS1,Season,4525.09277
TS1,Noise,2016.8898527836395
TS1,Noise-freg,6369.124084328764
TS2,Trend,7183.35135
TS2,Season,7090.41138
TS2,Noise,3332.7300124209046
TS2,Noise-freg,6743.097832829893
TS3,Trend,4713.70549
TS3,Season,4568.20918
TS3,Noise,1954.9876200401036
TS3,Noise-freg,6491.9290381654755
TS4,Trend,4848.92161
TS4,Season,4568.28007
TS4,Noise,2565.8807977832716
TS4,Noise-freg,6562.550563362447
TS5,Trend,4826.55524
TS5,Season,4667.01784
TS5,Noise,2143.21271152962
TS5,Noise-freg,6334.443299421222
TS6,Trend,6142.00546
TS6,Season,6069.54820
TS6,Noise,1871.2891417321432
TS6,Noise-freg,6411.805805992705
TS7,Trend,4711.80683
TS7,Season,4707.32913
TS7,Noise,2210.73979892566
TS7,Noise-freg,5927.50463892608
TS8,Trend,4757.33037
TS8,Season,4508.69395
TS8,Noise,2721.144816135829
TS8,Noise-freg,5679.508517461511
TS9,Trend,5191.91447
TS9,Season,4807.28067
TS9,Noise,4283.75668868458
TS9,Noise-freg,7012.113870613532
TS10,Trend,9767.45167
TS10,Season,5782.13293
TS10,Noise,9758.969330643818
TS10,Noise-freg,10331.7198030902
TS11,Trend,12047.26674
TS11,Season,9211.94096
TS11,Noise,12242.136999084549
TS11,Noise-freg,12015.0407360547
TS12,Trend,4681.98476
TS12,Season,4524.18687
TS12,Noise,2056.8814508571872
TS12,Noise-freg,6516.72538650596
TS13,Trend,4673.55772
TS13,Season,4513.86018
TS13,Noise,2058.4032623279695
TS13,Noise-freg,6489.885740550997
TS14,Trend,5980.04347
TS14,Season,4461.46582
TS14,Noise,5336.158077732174
TS14,Noise-freg,8444.25843175964
TS15,Trend,8478.22625
TS15,Season,4594.36842
TS15,Noise,8382.884274798518
TS15,Noise-freg,10135.383459866729
TS16,Trend,6319.51674
TS16,Season,5125.13752
TS16,Noise,5947.888223811169
TS16,Noise-freg,8590.522278016488
TS17,Trend,8087.33731
TS17,Season,6766.29233
TS17,Noise,7843.433124933098
TS17,Noise-freg,9712.214490666
TS18,Trend,4708.55344
TS18,Season,4566.89050
TS18,Noise,2151.814317189024
TS18,Noise-freg,5752.309493355207
TS19,Trend,4760.73725
TS19,Season,4640.47762
TS19,Noise,2727.435605513361
TS19,Noise-freg,5459.107473440743
TS20,Trend,5355.68423
TS20,Season,4651.01515
TS20,Noise,4765.08935837762
TS20,Noise-freg,7413.5464808201305
TS21,Trend,6480.21914
TS21,Season,6038.47942
TS21,Noise,6683.469144431797
TS21,Noise-freg,8442.10582964618
