Time Series,AIC
TS1,8507.342289307227
TS2,8541.878268877746
TS3,8507.102193274
TS4,8518.671008192256
TS5,8509.82912098821
TS6,8505.777119336568
TS7,8514.705789253065
TS8,8579.123258139807
TS9,9655.809977961317
TS10,10209.782988791001
TS11,12545.366706639255
TS12,8648.261888864512
TS13,8756.214404537475
TS14,8655.462579881589
TS15,9532.869945314134
TS16,8722.175325932432
TS17,9184.81504146094
TS18,13243.662163313096
TS19,8575.01090858016
TS20,8586.059188998695
TS21,8783.424732760093
