Time Series,BIC
TS1,627.2206339045185
TS2,8568.404603428837
TS3,1139.303637735489
TS4,1729.6890242182208
TS5,8535.590427724717
TS6,8530.23808509428
TS7,8541.007116440152
TS8,2751.109555565657
TS9,4163.933427483139
TS10,9738.16810340174
TS11,12242.130042511117
TS12,610.9801415019629
TS13,632.4171786210252
TS14,5498.573086812516
TS15,8379.33959271515
TS16,5924.947364876832
TS17,7821.954329651224
TS18,2382.551914687578
TS19,2802.594309774929
TS20,4729.52932225758
TS21,6560.417251386244
