Time Series,AIC
TS1,5540.210322063562
TS2,9729.002999358474
TS3,6025.655130549963
TS4,6068.514579863535
TS5,9743.243431596262
TS6,9752.434535729994
TS7,9706.145501996432
TS8,5756.8466567075775
TS9,6905.655725964562
TS10,10278.967943252419
TS11,11991.939423928534
TS12,5758.139409521388
TS13,5723.635734287073
TS14,8383.578735672565
TS15,10112.151075365247
TS16,8564.002111336164
TS17,9679.22117582935
TS18,5971.171299874812
TS19,5579.551217575938
TS20,7295.995384987854
TS21,8364.93615128686
