Time Series,BIC
TS1,9774.47453711434
TS2,9752.07577965594
TS3,9778.310179200156
TS4,9778.842488353379
TS5,9766.75463366585
TS6,9776.687469182345
TS7,9729.413871527724
TS8,9779.073721419853
TS9,10355.69488976443
TS10,10455.427649578483
TS11,11801.295727566716
TS12,10304.114356914846
TS13,9900.839387075217
TS14,9881.644127160855
TS15,10515.588045686663
TS16,9745.615715148413
TS17,10064.136827634937
TS18,12380.941147142801
TS19,9775.277109094015
TS20,9708.656033882922
TS21,9769.479227414578
