Time Series,Component,R2,R2Adj,AIC,BIC
TS1,Trend,0.93326,0.93304,4660.38002,4686.94612
TS1,Season,0.95603,0.95588,4498.52667,4525.09277
TS1,Noise,-2.781605668,-2.794261644,1990.323751,2016.889853
TS1,Noise-freg,-13.09806053,-13.19267838,6346.017056,6369.124084
TS2,Trend,0.6475,0.64632,7156.78525,7183.35135
TS2,Season,0.75684,0.75603,7063.84528,7090.41138
TS2,Noise,-0.322474484,-0.326900436,3306.16391,3332.730012
TS2,Noise-freg,0.227714199,0.222531073,6719.990805,6743.097833
TS3,Trend,0.93206,0.93183,4687.13939,4713.70549
TS3,Season,0.95475,0.9546,4541.64308,4568.20918
TS3,Noise,-3.569164538,-3.584456253,1928.421518,1954.98762
TS3,Noise-freg,-12.38825835,-12.47811243,6468.82201,6491.929038
TS4,Trend,0.92565,0.9254,4822.35551,4848.92161
TS4,Season,0.95475,0.95459,4541.71397,4568.28007
TS4,Noise,-4.713717898,-4.732840114,2539.314696,2565.880798
TS4,Noise-freg,-0.778806603,-0.790744903,6539.443535,6562.550563
TS5,Trend,0.92675,0.92651,4799.98914,4826.55524
TS5,Season,0.95167,0.9515,4640.45174,4667.01784
TS5,Noise,-43.21013902,-43.35809799,2116.64661,2143.212712
TS5,Noise-freg,-13.75418843,-13.85320983,6311.336271,6334.443299
TS6,Trend,0.82394,0.82335,6115.43936,6142.00546
TS6,Season,0.87688,0.87647,6042.9821,6069.5482
TS6,Noise,-51.72183713,-51.89828237,1844.72304,1871.289142
TS6,Noise-freg,-243.0893726,-244.7275563,6388.698778,6411.805806
TS7,Trend,0.93215,0.93192,4685.24073,4711.80683
TS7,Season,0.95035,0.95018,4680.76303,4707.32913
TS7,Noise,-2.030504565,-2.040646815,2184.173697,2210.739799
TS7,Noise-freg,-0.788749163,-0.800754191,5904.397611,5927.504639
TS8,Trend,0.93006,0.92982,4730.76427,4757.33037
TS8,Season,0.95651,0.95636,4482.12785,4508.69395
TS8,Noise,0.939524574,0.93932218,2694.578714,2721.144816
TS8,Noise-freg,0.943718873,0.943341147,5656.401489,5679.508517
TS9,Trend,0.90655,0.90624,5165.34837,5191.91447
TS9,Season,0.94693,0.94675,4780.71457,4807.28067
TS9,Noise,0.972576594,0.972484815,4257.190587,4283.756689
TS9,Noise-freg,0.946897765,0.946541375,6989.006842,7012.113871
TS10,Trend,-0.97394,-0.98055,9740.88557,9767.45167
TS10,Season,0.89835,0.89801,5755.56683,5782.13293
TS10,Noise,0.040656468,0.037445814,9732.403229,9758.969331
TS10,Noise-freg,0.08159128,0.075427463,10308.61277,10331.7198
TS11,Trend,-8.02419,-8.05439,12020.70064,12047.26674
TS11,Season,-0.00032,-0.00367,9185.37486,9211.94096
TS11,Noise,0.196390964,0.193701509,12215.5709,12242.137
TS11,Noise-freg,-0.382294918,-0.391572065,11991.93371,12015.04074
TS12,Trend,0.93348,0.93326,4655.41866,4681.98476
TS12,Season,0.95606,0.95591,4497.62076,4524.18687
TS12,Noise,0.951096709,0.950933044,2030.315349,2056.881451
TS12,Noise-freg,0.861623124,0.86069442,6493.618358,6516.725387
TS13,Trend,0.93385,0.93363,4646.99162,4673.55772
TS13,Season,0.95636,0.95621,4487.29408,4513.86018
TS13,Noise,0.987761767,0.98772081,2031.83716,2058.403262
TS13,Noise-freg,0.966620296,0.966396271,6466.778712,6489.885741
TS14,Trend,0.84196,0.84143,5953.47737,5980.04347
TS14,Season,0.95786,0.95771,4434.89972,4461.46582
TS14,Noise,-0.448959377,-0.453808638,5309.591976,5336.158078
TS14,Noise-freg,0.128317575,0.122467357,8421.151404,8444.258432
TS15,Trend,0.16427,0.16147,8451.66015,8478.22625
TS15,Season,0.95395,0.9538,4567.80231,4594.36842
TS15,Noise,-0.227245035,-0.231352281,8356.318173,8382.884275
TS15,Noise-freg,0.07939458,0.07321602,10112.27643,10135.38346
TS16,Trend,0.80182,0.80116,6292.95064,6319.51674
TS16,Season,0.9344,0.93418,5098.57142,5125.13752
TS16,Noise,-0.396459279,-0.401132838,5921.322122,5947.888224
TS16,Noise-freg,0.256091849,0.251099177,8567.41525,8590.522278
TS17,Trend,0.35599,0.35384,8060.77121,8087.33731
TS17,Season,0.80409,0.80344,6739.72623,6766.29233
TS17,Noise,-0.235334998,-0.239469318,7816.867023,7843.433125
TS17,Noise-freg,0.171827583,0.166269379,9689.107462,9712.214491
TS18,Trend,0.93229,0.93207,4681.98734,4708.55344
TS18,Season,0.95479,0.95464,4540.3244,4566.8905
TS18,Noise,0.84109012,0.840558293,2125.248215,2151.814317
TS18,Noise-freg,0.746422973,0.744721114,5729.202465,5752.309493
TS19,Trend,0.9299,0.92966,4734.17114,4760.73725
TS19,Season,0.95251,0.95236,4613.91152,4640.47762
TS19,Noise,0.94168902,0.941493869,2700.869504,2727.435606
TS19,Noise-freg,0.957096312,0.956808367,5436.000445,5459.107473
TS20,Trend,0.89577,0.89542,5329.11813,5355.68423
TS20,Season,0.95218,0.95202,4624.44905,4651.01515
TS20,Noise,0.575836352,0.574416795,4738.523256,4765.089358
TS20,Noise-freg,0.564441057,0.561517842,7390.439453,7413.546481
TS21,Trend,0.77941,0.77867,6453.65304,6480.21914
TS21,Season,0.87941,0.879,6011.91332,6038.47942
TS21,Noise,0.587548981,0.586168623,6656.903042,6683.469144
TS21,Noise-freg,0.526925248,0.52375025,8418.998801,8442.10583
