Time Series,Component,R2Adj
TS1,Trend,0.93304
TS1,Season,0.95588
TS1,Noise,-2.7942616443047283
TS1,Noise-freg,-13.192678384503411
TS2,Trend,0.64632
TS2,Season,0.75603
TS2,Noise,-0.32690043610004027
TS2,Noise-freg,0.22253107319861576
TS3,Trend,0.93183
TS3,Season,0.95460
TS3,Noise,-3.5844562531410133
TS3,Noise-freg,-12.478112434612138
TS4,Trend,0.92540
TS4,Season,0.95459
TS4,Noise,-4.732840113573857
TS4,Noise-freg,-0.7907449027985629
TS5,Trend,0.92651
TS5,Season,0.95150
TS5,Noise,-43.35809798692108
TS5,Noise-freg,-13.853209830051945
TS6,Trend,0.82335
TS6,Season,0.87647
TS6,Noise,-51.89828237194651
TS6,Noise-freg,-244.72755628268604
TS7,Trend,0.93192
TS7,Season,0.95018
TS7,Noise,-2.040646815402326
TS7,Noise-freg,-0.8007541913279745
TS8,Trend,0.92982
TS8,Season,0.95636
TS8,Noise,0.9393221796348157
TS8,Noise-freg,0.9433411472527823
TS9,Trend,0.90624
TS9,Season,0.94675
TS9,Noise,0.9724848154345634
TS9,Noise-freg,0.9465413745654335
TS10,Trend,-0.98055
TS10,Season,0.89801
TS10,Noise,0.03744581402229796
TS10,Noise-freg,0.07542746343982887
TS11,Trend,-8.05439
TS11,Season,-0.00367
TS11,Noise,0.19370150894748106
TS11,Noise-freg,-0.3915720651488599
TS12,Trend,0.93326
TS12,Season,0.95591
TS12,Noise,0.9509330437393381
TS12,Noise-freg,0.8606944202448144
TS13,Trend,0.93363
TS13,Season,0.95621
TS13,Noise,0.9877208095101833
TS13,Noise-freg,0.9663962713909259
TS14,Trend,0.84143
TS14,Season,0.95771
TS14,Noise,-0.4538086381823585
TS14,Noise-freg,0.12246735693813016
TS15,Trend,0.16147
TS15,Season,0.95380
TS15,Noise,-0.23135228055349155
TS15,Noise-freg,0.07321602016098838
TS16,Trend,0.80116
TS16,Season,0.93418
TS16,Noise,-0.4011328377144534
TS16,Noise-freg,0.25109917693982053
TS17,Trend,0.35384
TS17,Season,0.80344
TS17,Noise,-0.2394693182315859
TS17,Noise-freg,0.16626937896542182
TS18,Trend,0.93207
TS18,Season,0.95464
TS18,Noise,0.8405582926108349
TS18,Noise-freg,0.7447211137343408
TS19,Trend,0.92966
TS19,Season,0.95236
TS19,Noise,0.9414938691887201
TS19,Noise-freg,0.9568083674526364
TS20,Trend,0.89542
TS20,Season,0.95202
TS20,Noise,0.5744167945549982
TS20,Noise-freg,0.56151784248388
TS21,Trend,0.77867
TS21,Season,0.87900
TS21,Noise,0.5861686231240697
TS21,Noise-freg,0.5237502500820881
