Time Series,AIC
TS1,12182.281398311903
TS2,12185.884446529122
TS3,12179.883669493332
TS4,12227.700742182906
TS5,12192.649227910473
TS6,12179.759742899956
TS7,12179.167105525232
TS8,12204.375819757259
TS9,12315.992087356099
TS10,12457.184964489119
TS11,9184.99844743401
TS12,12835.156862412447
TS13,12179.768063869124
TS14,12414.154866707178
TS15,12841.18630367452
TS16,12430.345205697417
TS17,12665.021596581239
TS18,12377.12407426355
TS19,12173.887520788106
TS20,12207.810140586202
TS21,12129.156588944754
