Time Series,BIC
TS1,12208.847500247355
TS2,12212.450548464574
TS3,12206.449771428785
TS4,12254.266844118358
TS5,12219.215329845925
TS6,12206.325844835408
TS7,12205.733207460684
TS8,12230.94192169271
TS9,12342.55818929155
TS10,12483.751066424571
TS11,9211.564549369463
TS12,12861.722964347899
TS13,12206.334165804576
TS14,12440.72096864263
TS15,12867.752405609972
TS16,12456.911307632869
TS17,12691.58769851669
TS18,12403.690176199001
TS19,12200.453622723559
TS20,12234.376242521654
TS21,12155.722690880206
