Time Series,AIC
TS1,12020.693397584562
TS2,12020.683354257806
TS3,12020.785556723453
TS4,12020.665007030786
TS5,12020.604863950877
TS6,12020.857156913622
TS7,12020.614559455498
TS8,12027.659731160114
TS9,12064.127391897646
TS10,12031.75504448552
TS11,12679.1573013726
TS12,12026.944048470734
TS13,12046.087580524092
TS14,12022.421374712738
TS15,12033.930568741735
TS16,12023.647913582296
TS17,12031.466971611402
TS18,12022.231535092053
TS19,12026.98016113913
TS20,12022.251876387423
TS21,12029.340332711843
