Time Series,BIC
TS1,5191.928897251176
TS2,5423.020058277076
TS3,5187.04371171654
TS4,5283.264122421211
TS5,5202.300652008656
TS6,5173.406662277007
TS7,5143.991789260511
TS8,5238.862592738414
TS9,5438.800633184889
TS10,9723.850870647295
TS11,12047.241146959563
TS12,5192.381217964029
TS13,5194.210796033056
TS14,6227.792724714205
TS15,8531.712971057226
TS16,6439.17068975578
TS17,7834.238806313025
TS18,5186.503096485324
TS19,5203.247829912168
TS20,5731.563029391083
TS21,6404.7347151711765
