Time Series,Metric,Trend/Season/Noise,IMFs,alpha,tau,W init
TS1,AIC,Trend,1 --- 1,50000,0,5001
TS1,AIC,Season,2 --- 2,50000,0,7501
TS2,AIC,Trend,1 --- 1,50000,0,10001
TS2,AIC,Season,2 --- 2,50000,0,20001
TS3,AIC,Trend,1 --- 1,50000,0,5001
TS3,AIC,Season,2 --- 2,50000,0,20001
TS4,AIC,Trend,1 --- 1,50000,0,5001
TS4,AIC,Season,2 --- 2,50000,0,7501
TS5,AIC,Trend,1 --- 1,50000,0,5001
TS5,AIC,Season,2 --- 2,50000,0,20001
TS6,AIC,Trend,1 --- 1,50000,0,7501
TS6,AIC,Season,2 --- 2,50000,0,7501
TS7,AIC,Trend,1 --- 1,50000,0,5001
TS7,AIC,Season,2 --- 2,50000,0,20001
TS8,AIC,Trend,1 --- 1,50000,0,5001
TS8,AIC,Season,2 --- 2,50000,0,7501
TS9,AIC,Trend,1 --- 1,50000,0,5001
TS9,AIC,Season,2 --- 2,50000,0,30001
TS10,AIC,Trend,1 --- 1,50000,0,5001
TS10,AIC,Season,2 --- 2,50000,0,20001
TS11,AIC,Trend,1 --- 1,50000,0,7501
TS11,AIC,Season,2 --- 2,25000,0,7501
TS12,AIC,Trend,1 --- 1,50000,0,5001
TS12,AIC,Season,2 --- 2,50000,0,40001
TS13,AIC,Trend,1 --- 1,50000,0,5001
TS13,AIC,Season,2 --- 2,50000,0,50001
TS14,AIC,Trend,1 --- 1,50000,0,5001
TS14,AIC,Season,2 --- 2,50000,0,7501
TS15,AIC,Trend,1 --- 1,50000,0,5001
TS15,AIC,Season,2 --- 2,50000,0,45001
TS16,AIC,Trend,1 --- 1,50000,0,5001
TS16,AIC,Season,2 --- 2,50000,0,25001
TS17,AIC,Trend,1 --- 1,50000,0,20001
TS17,AIC,Season,2 --- 2,50000,0,30001
TS18,AIC,Trend,1 --- 1,50000,0,5001
TS18,AIC,Season,2 --- 2,50000,0,30001
TS19,AIC,Trend,1 --- 1,50000,0,5001
TS19,AIC,Season,2 --- 2,50000,0,40001
TS20,AIC,Trend,1 --- 1,50000,0,5001
TS20,AIC,Season,2 --- 2,50000,0,7501
TS21,AIC,Trend,1 --- 1,50000,0,5001
TS21,AIC,Season,2 --- 2,50000,0,20001
