Time Series,Metric,Trend/Season/Noise,IMFs,alpha,tau,W init
TS1,BIC,Trend,1 --- 1,50000,0,5001
TS1,BIC,Season,2 --- 2,50000,0,7501
TS2,BIC,Trend,1 --- 1,50000,0,10001
TS2,BIC,Season,2 --- 2,50000,0,20001
TS3,BIC,Trend,1 --- 1,50000,0,5001
TS3,BIC,Season,2 --- 2,50000,0,20001
TS4,BIC,Trend,1 --- 1,50000,0,5001
TS4,BIC,Season,2 --- 2,50000,0,7501
TS5,BIC,Trend,1 --- 1,50000,0,5001
TS5,BIC,Season,2 --- 2,50000,0,20001
TS6,BIC,Trend,1 --- 1,50000,0,7501
TS6,BIC,Season,2 --- 2,50000,0,7501
TS7,BIC,Trend,1 --- 1,50000,0,5001
TS7,BIC,Season,2 --- 2,50000,0,20001
TS8,BIC,Trend,1 --- 1,50000,0,5001
TS8,BIC,Season,2 --- 2,50000,0,7501
TS9,BIC,Trend,1 --- 1,50000,0,5001
TS9,BIC,Season,2 --- 2,50000,0,30001
TS10,BIC,Trend,1 --- 1,50000,0,5001
TS10,BIC,Season,2 --- 2,50000,0,20001
TS11,BIC,Trend,1 --- 1,50000,0,7501
TS11,BIC,Season,2 --- 2,25000,0,7501
TS12,BIC,Trend,1 --- 1,50000,0,5001
TS12,BIC,Season,2 --- 2,50000,0,40001
TS13,BIC,Trend,1 --- 1,50000,0,5001
TS13,BIC,Season,2 --- 2,50000,0,50001
TS14,BIC,Trend,1 --- 1,50000,0,5001
TS14,BIC,Season,2 --- 2,50000,0,7501
TS15,BIC,Trend,1 --- 1,50000,0,5001
TS15,BIC,Season,2 --- 2,50000,0,45001
TS16,BIC,Trend,1 --- 1,50000,0,5001
TS16,BIC,Season,2 --- 2,50000,0,25001
TS17,BIC,Trend,1 --- 1,50000,0,20001
TS17,BIC,Season,2 --- 2,50000,0,30001
TS18,BIC,Trend,1 --- 1,50000,0,5001
TS18,BIC,Season,2 --- 2,50000,0,30001
TS19,BIC,Trend,1 --- 1,50000,0,5001
TS19,BIC,Season,2 --- 2,50000,0,40001
TS20,BIC,Trend,1 --- 1,50000,0,5001
TS20,BIC,Season,2 --- 2,50000,0,7501
TS21,BIC,Trend,1 --- 1,50000,0,5001
TS21,BIC,Season,2 --- 2,50000,0,20001
