Time Series,Metric,Trend/Season/Noise,IMFs,alpha,tau,W init
TS1,R2,Trend,1 --- 1,50000,0,5001
TS1,R2,Season,2 --- 2,50000,0,7501
TS2,R2,Trend,1 --- 1,50000,0,10001
TS2,R2,Season,2 --- 2,50000,0,20001
TS3,R2,Trend,1 --- 1,50000,0,5001
TS3,R2,Season,2 --- 2,50000,0,20001
TS4,R2,Trend,1 --- 1,50000,0,5001
TS4,R2,Season,2 --- 2,50000,0,7501
TS5,R2,Trend,1 --- 1,50000,0,5001
TS5,R2,Season,2 --- 2,50000,0,20001
TS6,R2,Trend,1 --- 1,50000,0,7501
TS6,R2,Season,2 --- 2,50000,0,7501
TS7,R2,Trend,1 --- 1,50000,0,5001
TS7,R2,Season,2 --- 2,50000,0,20001
TS8,R2,Trend,1 --- 1,50000,0,5001
TS8,R2,Season,2 --- 2,50000,0,7501
TS9,R2,Trend,1 --- 1,50000,0,5001
TS9,R2,Season,2 --- 2,50000,0,30001
TS10,R2,Trend,1 --- 1,50000,0,5001
TS10,R2,Season,2 --- 2,50000,0,20001
TS11,R2,Trend,1 --- 1,50000,0,7501
TS11,R2,Season,2 --- 2,25000,0,7501
TS12,R2,Trend,1 --- 1,50000,0,5001
TS12,R2,Season,2 --- 2,50000,0,40001
TS13,R2,Trend,1 --- 1,50000,0,5001
TS13,R2,Season,2 --- 2,50000,0,50001
TS14,R2,Trend,1 --- 1,50000,0,5001
TS14,R2,Season,2 --- 2,50000,0,7501
TS15,R2,Trend,1 --- 1,50000,0,5001
TS15,R2,Season,2 --- 2,50000,0,45001
TS16,R2,Trend,1 --- 1,50000,0,5001
TS16,R2,Season,2 --- 2,50000,0,25001
TS17,R2,Trend,1 --- 1,50000,0,20001
TS17,R2,Season,2 --- 2,50000,0,30001
TS18,R2,Trend,1 --- 1,50000,0,5001
TS18,R2,Season,2 --- 2,50000,0,30001
TS19,R2,Trend,1 --- 1,50000,0,5001
TS19,R2,Season,2 --- 2,50000,0,40001
TS20,R2,Trend,1 --- 1,50000,0,5001
TS20,R2,Season,2 --- 2,50000,0,7501
TS21,R2,Trend,1 --- 1,50000,0,5001
TS21,R2,Season,2 --- 2,50000,0,20001
