Time Series,IMFs,Metric,alpha,tau,W init,fs,tol
TS1,2 - 3,AIC,20000,0,1,0,1e-06
TS1,2 - 4,AIC,20000,0,501,0,1e-06
TS1,2 - 5,AIC,20000,0,501,0,1e-06
TS3,3 - 4,AIC,20000,0,1,0,1e-06
TS3,3 - 5,AIC,20000,0,501,0,1e-06
TS4,2 - 3,AIC,20000,0,1,0,1e-06
TS4,2 - 4,AIC,20000,0,501,0,1e-06
TS4,2 - 5,AIC,20000,0,501,0,1e-06
TS8,2 - 3,AIC,20000,0,1,0,1e-06
TS8,2 - 4,AIC,0,0,False,0,1e-06
TS8,2 - 5,AIC,0,0,False,0,1e-06
TS9,2 - 3,AIC,20000,0,1,0,1e-06
TS9,2 - 4,AIC,0,0,False,0,1e-06
TS9,2 - 5,AIC,0,0,False,0,1e-06
TS10,2 - 3,AIC,20000,0,1,0,1e-06
TS10,2 - 4,AIC,0,0,False,0,1e-06
TS10,2 - 5,AIC,0,0,False,0,1e-06
TS11,2 - 3,AIC,20000,0,10001,0,1e-06
TS11,2 - 4,AIC,0,0,False,0,1e-06
TS11,2 - 5,AIC,0,0,False,0,1e-06
TS12,2 - 3,AIC,20000,0,1,0,1e-06
TS12,2 - 4,AIC,20000,0,501,0,1e-06
TS12,2 - 5,AIC,20000,0,501,0,1e-06
TS13,2 - 3,AIC,20000,0,1,0,1e-06
TS13,2 - 4,AIC,20000,0,501,0,1e-06
TS13,2 - 5,AIC,20000,0,501,0,1e-06
TS14,3 - 4,AIC,20000,0,1,0,1e-06
TS14,3 - 5,AIC,500,3,501,0,1e-06
TS15,2 - 3,AIC,20000,0,1,0,1e-06
TS15,2 - 4,AIC,0,0,False,0,1e-06
TS15,2 - 5,AIC,0,0,False,0,1e-06
TS16,2 - 3,AIC,20000,0,1,0,1e-06
TS16,2 - 4,AIC,0,0,False,0,1e-06
TS16,2 - 5,AIC,0,0,False,0,1e-06
TS17,2 - 3,AIC,20000,0,1,0,1e-06
TS17,2 - 4,AIC,0,0,False,0,1e-06
TS17,2 - 5,AIC,0,0,False,0,1e-06
TS18,2 - 3,AIC,20000,0,1,0,1e-06
TS18,2 - 4,AIC,0,0,False,0,1e-06
TS18,2 - 5,AIC,0,0,False,0,1e-06
TS19,2 - 3,AIC,20000,0,1,0,1e-06
TS19,2 - 4,AIC,0,0,False,0,1e-06
TS19,2 - 5,AIC,0,0,False,0,1e-06
TS20,2 - 3,AIC,20000,0,1,0,1e-06
TS20,2 - 4,AIC,0,0,False,0,1e-06
TS20,2 - 5,AIC,0,0,False,0,1e-06
TS21,2 - 3,AIC,20000,0,1,0,1e-06
TS21,2 - 4,AIC,0,0,False,0,1e-06
TS21,2 - 5,AIC,0,0,False,0,1e-06
