Time Series,IMFs,Metric,alpha,tau,W init,fs,tol
TS1,2 - 3,BIC,20000,0,1,0,1e-06
TS1,2 - 4,BIC,0,0,False,0,1e-06
TS1,2 - 5,BIC,0,0,False,0,1e-06
TS2,2 - 3,BIC,20000,0,1,0,1e-06
TS2,2 - 4,BIC,20000,0,10001,0,1e-06
TS2,2 - 5,BIC,20000,0,10001,0,1e-06
TS3,2 - 3,BIC,20000,0,1,0,1e-06
TS3,2 - 4,BIC,20000,0,10001,0,1e-06
TS3,2 - 5,BIC,5000,0,10001,0,1e-06
TS4,2 - 3,BIC,20000,0,1,0,1e-06
TS4,2 - 4,BIC,20000,0,10001,0,1e-06
TS4,2 - 5,BIC,20000,0,10001,0,1e-06
TS5,2 - 3,BIC,20000,0,1,0,1e-06
TS5,2 - 4,BIC,20000,0,10001,0,1e-06
TS5,2 - 5,BIC,20000,0,10001,0,1e-06
TS6,2 - 3,BIC,20000,0,1,0,1e-06
TS6,2 - 4,BIC,20000,0,10001,0,1e-06
TS6,2 - 5,BIC,20000,0,10001,0,1e-06
TS7,2 - 3,BIC,20000,0,1,0,1e-06
TS7,2 - 4,BIC,20000,0,10001,0,1e-06
TS7,2 - 5,BIC,20000,0,10001,0,1e-06
TS8,2 - 3,BIC,20000,0,1,0,1e-06
TS8,2 - 4,BIC,0,0,False,0,1e-06
TS8,2 - 5,BIC,0,0,False,0,1e-06
TS9,2 - 3,BIC,0,0,1,0,1e-06
TS9,2 - 4,BIC,0,0,False,0,1e-06
TS9,2 - 5,BIC,0,0,False,0,1e-06
TS10,2 - 3,BIC,20000,0,1,0,1e-06
TS10,2 - 4,BIC,20000,0,10001,0,1e-06
TS10,2 - 5,BIC,20000,0,10001,0,1e-06
TS11,2 - 3,BIC,0,0,1,0,1e-06
TS11,2 - 4,BIC,0,0,False,0,1e-06
TS11,2 - 5,BIC,0,0,False,0,1e-06
TS12,2 - 3,BIC,1000,3,5001,0,1e-06
TS12,2 - 4,BIC,0,0,False,0,1e-06
TS12,2 - 5,BIC,0,0,False,0,1e-06
TS13,2 - 3,BIC,20000,0,1,0,1e-06
TS13,2 - 4,BIC,0,0,False,0,1e-06
TS13,2 - 5,BIC,0,0,False,0,1e-06
TS14,2 - 3,BIC,20000,0,1,0,1e-06
TS14,2 - 4,BIC,0,0,False,0,1e-06
TS14,2 - 5,BIC,0,0,False,0,1e-06
TS15,2 - 3,BIC,20000,0,1,0,1e-06
TS15,2 - 4,BIC,0,0,False,0,1e-06
TS15,2 - 5,BIC,0,0,False,0,1e-06
TS16,2 - 3,BIC,20000,0,1,0,1e-06
TS16,2 - 4,BIC,0,0,False,0,1e-06
TS16,2 - 5,BIC,0,0,False,0,1e-06
TS17,2 - 3,BIC,20000,0,1,0,1e-06
TS17,2 - 4,BIC,0,0,False,0,1e-06
TS17,2 - 5,BIC,0,0,False,0,1e-06
TS18,2 - 3,BIC,10000,1,10001,0,1e-06
TS18,2 - 4,BIC,0,0,False,0,1e-06
TS18,2 - 5,BIC,0,0,False,0,1e-06
TS19,2 - 3,BIC,20000,0,1,0,1e-06
TS19,2 - 4,BIC,0,0,False,0,1e-06
TS19,2 - 5,BIC,0,0,False,0,1e-06
TS20,2 - 3,BIC,20000,0,1,0,1e-06
TS20,2 - 4,BIC,0,0,False,0,1e-06
TS20,2 - 5,BIC,0,0,False,0,1e-06
TS21,2 - 3,BIC,20000,0,1,0,1e-06
TS21,2 - 4,BIC,0,0,False,0,1e-06
TS21,2 - 5,BIC,0,0,False,0,1e-06
