Time Series,IMFs,Metric,alpha,tau,W init,fs,tol
TS1,1 - 1,AIC,20000,0,1,20000,1e-06
TS1,1 - 2,AIC,0,0,False,20000,1e-06
TS1,1 - 3,AIC,0,0,False,20000,1e-06
TS1,1 - 4,AIC,0,0,False,20000,1e-06
TS1,1 - 5,AIC,0,0,False,20000,1e-06
TS2,1 - 1,AIC,20000,0,1,20000,1e-06
TS2,1 - 2,AIC,1000,0,10001,20000,1e-06
TS2,1 - 3,AIC,5000,0,5001,20000,1e-06
TS2,1 - 4,AIC,5000,0,5001,20000,1e-06
TS2,1 - 5,AIC,5000,0,5001,20000,1e-06
TS3,1 - 1,AIC,20000,0,1,20000,1e-06
TS3,1 - 2,AIC,500,0,5001,20000,1e-06
TS3,1 - 3,AIC,0,0,False,20000,1e-06
TS3,1 - 4,AIC,0,0,False,20000,1e-06
TS3,1 - 5,AIC,0,0,False,20000,1e-06
TS4,1 - 1,AIC,20000,0,1,20000,1e-06
TS4,1 - 2,AIC,0,0,False,20000,1e-06
TS4,1 - 3,AIC,0,0,False,20000,1e-06
TS4,1 - 4,AIC,0,0,False,20000,1e-06
TS4,1 - 5,AIC,0,0,False,20000,1e-06
TS5,1 - 1,AIC,20000,0,1,20000,1e-06
TS5,1 - 2,AIC,500,0,10001,20000,1e-06
TS5,1 - 3,AIC,5000,0,5001,20000,1e-06
TS5,1 - 4,AIC,500,0,5001,20000,1e-06
TS5,1 - 5,AIC,5000,0,5001,20000,1e-06
TS6,1 - 1,AIC,20000,0,1,20000,1e-06
TS6,1 - 2,AIC,500,0,10001,20000,1e-06
TS6,1 - 3,AIC,5000,0,5001,20000,1e-06
TS6,1 - 4,AIC,5000,0,5001,20000,1e-06
TS6,1 - 5,AIC,1000,0,5001,20000,1e-06
TS7,1 - 1,AIC,20000,0,1,20000,1e-06
TS7,1 - 2,AIC,5000,0,5001,20000,1e-06
TS7,1 - 3,AIC,1000,0,5001,20000,1e-06
TS7,1 - 4,AIC,1000,0,10001,20000,1e-06
TS7,1 - 5,AIC,20000,0,5001,20000,1e-06
TS8,1 - 1,AIC,20000,0,1,20000,1e-06
TS8,1 - 2,AIC,0,0,False,20000,1e-06
TS8,1 - 3,AIC,0,0,False,20000,1e-06
TS8,1 - 4,AIC,0,0,False,20000,1e-06
TS8,1 - 5,AIC,0,0,False,20000,1e-06
TS9,1 - 1,AIC,20000,0,1,20000,1e-06
TS9,1 - 2,AIC,0,0,False,20000,1e-06
TS9,1 - 3,AIC,0,0,False,20000,1e-06
TS9,1 - 4,AIC,0,0,False,20000,1e-06
TS9,1 - 5,AIC,0,0,False,20000,1e-06
TS10,1 - 1,AIC,20000,0,1,20000,1e-06
TS10,1 - 2,AIC,0,0,False,20000,1e-06
TS10,1 - 3,AIC,0,0,False,20000,1e-06
TS10,1 - 4,AIC,0,0,False,20000,1e-06
TS10,1 - 5,AIC,0,0,False,20000,1e-06
TS11,1 - 1,AIC,20000,0,10001,20000,1e-06
TS11,1 - 2,AIC,0,0,False,20000,1e-06
TS11,1 - 3,AIC,0,0,False,20000,1e-06
TS11,1 - 4,AIC,0,0,False,20000,1e-06
TS11,1 - 5,AIC,0,0,False,20000,1e-06
TS12,1 - 1,AIC,20000,0,1,20000,1e-06
TS12,1 - 2,AIC,0,0,False,20000,1e-06
TS12,1 - 3,AIC,0,0,False,20000,1e-06
TS12,1 - 4,AIC,0,0,False,20000,1e-06
TS12,1 - 5,AIC,0,0,False,20000,1e-06
TS13,1 - 1,AIC,20000,0,1,20000,1e-06
TS13,1 - 2,AIC,0,0,False,20000,1e-06
TS13,1 - 3,AIC,0,0,False,20000,1e-06
TS13,1 - 4,AIC,0,0,False,20000,1e-06
TS13,1 - 5,AIC,0,0,False,20000,1e-06
TS14,1 - 1,AIC,20000,0,1,20000,1e-06
TS14,1 - 2,AIC,20000,0,501,20000,1e-06
TS14,1 - 3,AIC,0,0,False,20000,1e-06
TS14,1 - 4,AIC,0,0,False,20000,1e-06
TS14,1 - 5,AIC,0,0,False,20000,1e-06
TS15,1 - 1,AIC,20000,0,1,20000,1e-06
TS15,1 - 2,AIC,0,0,False,20000,1e-06
TS15,1 - 3,AIC,0,0,False,20000,1e-06
TS15,1 - 4,AIC,0,0,False,20000,1e-06
TS15,1 - 5,AIC,0,0,False,20000,1e-06
TS16,1 - 1,AIC,20000,0,1,20000,1e-06
TS16,1 - 2,AIC,0,0,False,20000,1e-06
TS16,1 - 3,AIC,0,0,False,20000,1e-06
TS16,1 - 4,AIC,0,0,False,20000,1e-06
TS16,1 - 5,AIC,0,0,False,20000,1e-06
TS17,1 - 1,AIC,20000,0,1,20000,1e-06
TS17,1 - 2,AIC,0,0,False,20000,1e-06
TS17,1 - 3,AIC,0,0,False,20000,1e-06
TS17,1 - 4,AIC,0,0,False,20000,1e-06
TS17,1 - 5,AIC,0,0,False,20000,1e-06
TS18,1 - 1,AIC,20000,0,1,20000,1e-06
TS18,1 - 2,AIC,0,0,False,20000,1e-06
TS18,1 - 3,AIC,0,0,False,20000,1e-06
TS18,1 - 4,AIC,0,0,False,20000,1e-06
TS18,1 - 5,AIC,0,0,False,20000,1e-06
TS19,1 - 1,AIC,20000,0,1,20000,1e-06
TS19,1 - 2,AIC,0,0,False,20000,1e-06
TS19,1 - 3,AIC,0,0,False,20000,1e-06
TS19,1 - 4,AIC,0,0,False,20000,1e-06
TS19,1 - 5,AIC,0,0,False,20000,1e-06
TS20,1 - 1,AIC,20000,0,1,20000,1e-06
TS20,1 - 2,AIC,0,0,False,20000,1e-06
TS20,1 - 3,AIC,0,0,False,20000,1e-06
TS20,1 - 4,AIC,0,0,False,20000,1e-06
TS20,1 - 5,AIC,0,0,False,20000,1e-06
TS21,1 - 1,AIC,20000,0,1,20000,1e-06
TS21,1 - 2,AIC,0,0,False,20000,1e-06
TS21,1 - 3,AIC,0,0,False,20000,1e-06
TS21,1 - 4,AIC,0,0,False,20000,1e-06
TS21,1 - 5,AIC,0,0,False,20000,1e-06
