Time Series,R2,R2_Adj,AIC,BIC
TS1,0.79905,0.79743,3155.70431,3183.43274
TS2,0.17488,0.16822,6771.69085,6799.41929
TS3,0.96394,0.96365,2027.21518,2054.94361
TS4,0.02277,0.01489,6091.61494,6119.34338
TS5,0.10066,0.09340,4212.32554,4240.05398
TS6,0.51374,0.50982,1720.56819,1748.29662
TS7,0.38217,0.37719,5108.03751,5135.76595
TS8,0.93410,0.93357,5776.84137,5804.56981
TS9,0.93643,0.93592,7126.15246,7153.88090
TS10,0.89936,0.89854,8650.11282,8677.84125
TS11,0.92640,0.92581,9791.32588,9819.05432
TS12,0.99892,0.99891,2851.46329,2879.19172
TS13,0.99956,0.99956,3212.79151,3240.51994
TS14,0.03372,0.02593,8500.52330,8528.25174
TS15,0.03885,0.03109,10146.64719,10174.37563
TS16,0.59995,0.59672,8103.55243,8131.28086
TS17,0.22035,0.21406,9645.76308,9673.49152
TS18,0.92204,0.92141,4845.44738,4873.17581
TS19,0.94721,0.94678,5593.73772,5621.46615
TS20,0.53660,0.53286,7438.97727,7466.70570
TS21,0.74858,0.74655,7946.27459,7974.00302
