Time Series,R2,R2_Adj,AIC,BIC
TS1,0.90611,0.90573,-3551.32670,-3519.44737
TS2,0.06079,0.05702,2794.82502,2826.70434
TS3,0.98555,0.98549,-6704.11392,-6672.23460
TS4,-0.23674,-0.24171,245.72590,277.60522
TS5,-0.60348,-0.60993,-2856.51857,-2824.63925
TS6,0.78032,0.77943,-6374.17321,-6342.29389
TS7,0.26258,0.25961,66.19065,98.06997
TS8,0.97301,0.97290,1486.31194,1518.19127
TS9,0.98091,0.98084,3715.54587,3747.42520
TS10,0.80197,0.80117,7367.66285,7399.54217
TS11,0.89886,0.89845,9108.64212,9140.52145
TS12,0.99952,0.99952,-4909.12964,-4877.25032
TS13,0.99975,0.99975,-3807.27266,-3775.39334
TS14,-0.17911,-0.18384,5002.45847,5034.33780
TS15,-0.15995,-0.16461,8273.72551,8305.60483
TS16,-0.09453,-0.09893,5557.89674,5589.77606
TS17,-0.03303,-0.03718,7550.59484,7582.47416
TS18,0.95265,0.95246,310.94432,342.82364
TS19,0.96612,0.96599,1888.34139,1920.22071
TS20,0.68083,0.67954,4313.94872,4345.82804
TS21,0.75165,0.75065,5897.98701,5929.86634
