Time Series,R2,R2_Adj,AIC,BIC
TS1,0.98439,0.98432,2947.41206,2979.29139
TS2,0.98321,0.98314,3056.63997,3088.51929
TS3,0.98377,0.98371,3005.45385,3037.33317
TS4,0.98387,0.98381,2996.04080,3027.92013
TS5,0.98349,0.98343,3030.79344,3062.67276
TS6,0.98350,0.98344,3030.11292,3061.99224
TS7,0.98214,0.98207,3148.69430,3180.57362
TS8,0.97859,0.97851,3420.83303,3452.71235
TS9,0.96363,0.96349,4215.76233,4247.64166
TS10,0.92774,0.92745,5245.74367,5277.62300
TS11,0.73056,0.72948,7219.76364,7251.64297
TS12,0.98375,0.98368,3007.79192,3039.67124
TS13,0.98401,0.98394,2983.51552,3015.39485
TS14,0.98237,0.98229,3130.08572,3161.96504
TS15,0.97415,0.97405,3703.61831,3735.49764
TS16,0.96865,0.96853,3992.87992,4024.75925
TS17,0.93506,0.93480,5085.35222,5117.23155
TS18,0.98064,0.98056,3270.31144,3302.19076
TS19,0.97633,0.97623,3571.61039,3603.48971
TS20,0.96603,0.96590,4113.30137,4145.18069
TS21,0.93507,0.93481,5085.13869,5117.01801
