Time Series,R2,R2_Adj,AIC,BIC
TS1,0.97786,0.97777,3007.36738,3039.24670
TS2,0.96008,0.95992,3891.52061,3923.39993
TS3,0.97791,0.97783,3003.60279,3035.48211
TS4,0.97417,0.97407,3238.54812,3270.42745
TS5,0.97900,0.97891,2928.13963,2960.01895
TS6,0.97843,0.97834,2968.35129,3000.23061
TS7,0.97870,0.97861,2949.47372,2981.35304
TS8,0.97759,0.97750,3025.18452,3057.06384
TS9,0.97156,0.97144,3383.14197,3415.02129
TS10,0.70129,0.70009,6910.43269,6942.31201
TS11,0.24275,0.23970,8305.74786,8337.62718
TS12,0.97778,0.97769,3012.76588,3044.64521
TS13,0.97778,0.97769,3012.74976,3044.62909
TS14,0.96722,0.96709,3595.72601,3627.60533
TS15,0.23594,0.23287,8319.16792,8351.04724
TS16,0.87694,0.87644,5580.24556,5612.12489
TS17,0.58812,0.58646,7392.30869,7424.18802
TS18,0.97808,0.97800,2991.98300,3023.86232
TS19,0.97785,0.97776,3007.73013,3039.60946
TS20,0.95455,0.95437,4086.05592,4117.93524
TS21,0.86550,0.86496,5713.55071,5745.43003
