Time Series,Metric,alpha,tau,K,DC,init,IMFs
TS1,R2,50000,0,3,True,10,1 + 5
TS1,R2_Adj,50000,0,3,True,10,1 + 5
TS1,AIC,50000,0,3,True,10,1 + 5
TS1,BIC,50000,0,3,True,10,1 + 5
TS2,R2,50000,0,3,True,10,1 + 9
TS2,R2_Adj,50000,0,3,True,10,1 + 9
TS2,AIC,50000,0,3,True,10,1 + 9
TS2,BIC,50000,0,3,True,10,1 + 9
TS3,R2,50000,0,3,True,10,1 + 4
TS3,R2_Adj,50000,0,3,True,10,1 + 4
TS3,AIC,50000,0,3,True,10,1 + 4
TS3,BIC,50000,0,3,True,10,1 + 4
TS4,R2,50000,0,3,True,10,1 + 6
TS4,R2_Adj,50000,0,3,True,10,1 + 6
TS4,AIC,50000,0,3,True,10,1 + 6
TS4,BIC,50000,0,3,True,10,1 + 6
TS5,R2,50000,0,3,True,10,1 + 9
TS5,R2_Adj,50000,0,3,True,10,1 + 9
TS5,AIC,50000,0,3,True,10,1 + 9
TS5,BIC,50000,0,3,True,10,1 + 9
TS6,R2,50000,0,3,True,10,1 + 7
TS6,R2_Adj,50000,0,3,True,10,1 + 7
TS6,AIC,50000,0,3,True,10,1 + 7
TS6,BIC,50000,0,3,True,10,1 + 7
TS7,R2,50000,0,3,True,10,1 + 7
TS7,R2_Adj,50000,0,3,True,10,1 + 7
TS7,AIC,50000,0,3,True,10,1 + 7
TS7,BIC,50000,0,3,True,10,1 + 7
TS8,R2,50000,0,3,True,10,1 + 1
TS8,R2_Adj,50000,0,3,True,10,1 + 1
TS8,AIC,50000,0,3,True,10,1 + 1
TS8,BIC,50000,0,3,True,10,1 + 1
TS9,R2,50000,0,3,True,10,1 + 1
TS9,R2_Adj,50000,0,3,True,10,1 + 1
TS9,AIC,50000,0,3,True,10,1 + 1
TS9,BIC,50000,0,3,True,10,1 + 1
TS10,R2,50000,0,3,True,10,1 + 2
TS10,R2_Adj,50000,0,3,True,10,1 + 2
TS10,AIC,50000,0,3,True,10,1 + 2
TS10,BIC,50000,0,3,True,10,1 + 2
TS11,R2,50000,0,3,True,10,1 + 0
TS11,R2_Adj,50000,0,3,True,10,1 + 0
TS11,AIC,50000,0,3,True,10,1 + 0
TS11,BIC,50000,0,3,True,10,1 + 0
TS12,R2,50000,0,3,True,10,1 + 1
TS12,R2_Adj,50000,0,3,True,10,1 + 1
TS12,AIC,50000,0,3,True,10,1 + 1
TS12,BIC,50000,0,3,True,10,1 + 1
TS13,R2,50000,0,3,True,10,1 + 4
TS13,R2_Adj,50000,0,3,True,10,1 + 4
TS13,AIC,50000,0,3,True,10,1 + 4
TS13,BIC,50000,0,3,True,10,1 + 4
TS14,R2,50000,0,3,True,10,1 + 4
TS14,R2_Adj,50000,0,3,True,10,1 + 4
TS14,AIC,50000,0,3,True,10,1 + 4
TS14,BIC,50000,0,3,True,10,1 + 4
TS15,R2,50000,0,3,True,10,1 + 1
TS15,R2_Adj,50000,0,3,True,10,1 + 1
TS15,AIC,50000,0,3,True,10,1 + 1
TS15,BIC,50000,0,3,True,10,1 + 1
TS16,R2,50000,0,3,True,10,1 + 1
TS16,R2_Adj,50000,0,3,True,10,1 + 1
TS16,AIC,50000,0,3,True,10,1 + 1
TS16,BIC,50000,0,3,True,10,1 + 1
TS17,R2,50000,0,3,True,10,1 + 1
TS17,R2_Adj,50000,0,3,True,10,1 + 1
TS17,AIC,50000,0,3,True,10,1 + 1
TS17,BIC,50000,0,3,True,10,1 + 1
TS18,R2,50000,0,3,True,10,1 + 2
TS18,R2_Adj,50000,0,3,True,10,1 + 2
TS18,AIC,50000,0,3,True,10,1 + 2
TS18,BIC,50000,0,3,True,10,1 + 2
TS19,R2,50000,0,3,True,10,1 + 1
TS19,R2_Adj,50000,0,3,True,10,1 + 1
TS19,AIC,50000,0,3,True,10,1 + 1
TS19,BIC,50000,0,3,True,10,1 + 1
TS20,R2,50000,0,3,True,10,1 + 1
TS20,R2_Adj,50000,0,3,True,10,1 + 1
TS20,AIC,50000,0,3,True,10,1 + 1
TS20,BIC,50000,0,3,True,10,1 + 1
TS21,R2,50000,0,3,True,10,1 + 2
TS21,R2_Adj,50000,0,3,True,10,1 + 2
TS21,AIC,50000,0,3,True,10,1 + 2
TS21,BIC,50000,0,3,True,10,1 + 2
