Time Series,Component,AIC
TS1,Trend,9422.79598
TS1,Season,9377.87712
TS1,Noise,2592.4902122713997
TS1,Noise-freg,5867.279754012509
TS2,Trend,9833.81918
TS2,Season,9751.17901
TS2,Noise,6169.94323020804
TS2,Noise-freg,8399.677500004265
TS3,Trend,9777.79050
TS3,Season,9731.73707
TS3,Noise,2997.354034774976
TS3,Noise-freg,6040.431903750871
TS4,Trend,9927.81805
TS4,Season,9803.98127
TS4,Noise,6462.86518095346
TS4,Noise-freg,8469.85049468568
TS5,Trend,9748.80298
TS5,Season,9681.49788
TS5,Noise,5297.371340368804
TS5,Noise-freg,7824.086903057579
TS6,Trend,9786.49434
TS6,Season,9618.47396
TS6,Noise,5703.934487557828
TS6,Noise-freg,8545.19569033846
TS7,Trend,9002.56791
TS7,Season,9092.43260
TS7,Noise,3038.8225047727487
TS7,Noise-freg,6712.39656407413
