Time Series,Component,R2,R2Adj,AIC,BIC
TS1,Trend,-0.59675,-0.6021,9422.79598,9449.36209
TS1,Season,0.51192,0.51028,9377.87712,9404.44323
TS1,Noise,0.943503533,0.943314455,2592.490212,2619.056314
TS1,Noise-freg,0.925473417,0.924973238,5867.279754,5890.386782
TS2,Trend,-3.8314,-3.84757,9833.81918,9860.38528
TS2,Season,0.374,0.3719,9751.17901,9777.74511
TS2,Noise,0.386520543,0.384467399,6169.94323,6196.509332
TS2,Noise-freg,-1.171536292,-1.186110361,8399.6775,8422.784528
TS3,Trend,-5.88242,-5.90546,9777.7905,9804.3566
TS3,Season,0.38206,0.37999,9731.73707,9758.30317
TS3,Noise,0.925998356,0.925750693,2997.354035,3023.920137
TS3,Noise-freg,0.906148101,0.905518222,6040.431904,6063.538932
TS4,Trend,0.55924,0.55776,9927.81805,9954.38415
TS4,Season,0.35157,0.3494,9803.98127,9830.54737
TS4,Noise,0.254221918,0.251726007,6462.865181,6489.431283
TS4,Noise-freg,-1.384225402,-1.400226915,8469.850495,8492.957523
TS5,Trend,-0.98476,-0.9914,9748.80298,9775.36908
TS5,Season,0.40241,0.40041,9681.49788,9708.06399
TS5,Noise,0.657102289,0.655954706,5297.37134,5323.937442
TS5,Noise-freg,-0.009043312,-0.015815415,7824.086903,7847.193931
TS6,Trend,-3.01182,-3.02525,9786.49434,9813.06045
TS6,Season,0.427,0.42508,9618.47396,9645.04006
TS6,Noise,0.55034785,0.54884299,5703.934488,5730.500589
TS6,Noise-freg,-1.635837016,-1.653527198,8545.19569,8568.302719
TS7,Trend,0,-0.00335,9002.56791,9029.13401
TS7,Season,0,-0.00335,9092.4326,9118.9987
TS7,Noise,-0.002710749,-0.006066542,3038.822505,3065.388607
TS7,Noise-freg,-3.55697356,-3.587557275,6712.396564,6735.503592
