Time Series,Component,R2Adj
TS1,Trend,-0.60210
TS1,Season,0.51028
TS1,Noise,0.9433144554286838
TS1,Noise-freg,0.9249732384599239
TS2,Trend,-3.84757
TS2,Season,0.37190
TS2,Noise,0.3844673989346373
TS2,Noise-freg,-1.1861103607401238
TS3,Trend,-5.90546
TS3,Season,0.37999
TS3,Noise,0.9257506927702881
TS3,Noise-freg,0.905518222307595
TS4,Trend,0.55776
TS4,Season,0.34940
TS4,Noise,0.2517260071392926
TS4,Noise-freg,-1.4002269148891897
TS5,Trend,-0.99140
TS5,Season,0.40041
TS5,Noise,0.6559547058331039
TS5,Noise-freg,-0.015815414578681297
TS6,Trend,-3.02525
TS6,Season,0.42508
TS6,Noise,0.5488429902109431
TS6,Noise-freg,-1.6535271976740242
TS7,Trend,-0.00335
TS7,Season,-0.00335
TS7,Noise,-0.0060665416521075155
TS7,Noise-freg,-3.5875572752236566
