Time Series,Metric,Trend/Season/Noise,IMFs,alpha,tau,W init
TS1,R2,Trend,1 --- 1,50000,0,30001
TS1,R2,Season,2 --- 2,50000,0,2501
TS2,R2,Trend,1 --- 1,45000,0,1
TS2,R2,Season,2 --- 2,40000,0,1
TS3,R2,Trend,1 --- 1,50000,0,5001
TS3,R2,Season,2 --- 2,45000,0,2501
TS4,R2,Trend,1 --- 1,30000,2,10001
TS4,R2,Season,2 --- 2,45000,0,1
TS5,R2,Trend,1 --- 1,30000,0,25001
TS5,R2,Season,2 --- 2,50000,0,5001
TS6,R2,Trend,1 --- 1,35000,0,5001
TS6,R2,Season,2 --- 2,50000,0,30001
TS7,R2,Trend,1 --- 1,0,0,1
TS7,R2,Season,2 --- 2,0,0,1
TS7,R2,Season,2 --- 3,0,0,1
TS7,R2,Season,2 --- 4,0,0,1
TS7,R2,Season,2 --- 5,0,0,1
TS7,R2,Season,2 --- 6,0,0,1
TS7,R2,Season,2 --- 7,0,0,1
TS7,R2,Season,2 --- 8,0,0,1
TS7,R2,Season,2 --- 9,0,0,1
