Time Series,Metric,alpha,tau,K,DC,init,tol,IMFs
TS1,R2,20000,0,5,True,0,1e-06,2 - 3
TS1,R2_Adj,20000,0,5,True,0,1e-06,2 - 3
TS1,AIC,20000,0,5,True,0,1e-06,2 - 3
TS1,BIC,20000,0,5,True,0,1e-06,2 - 3
TS2,R2,20000,0,3,True,0,1e-06,2 - 2
TS2,R2_Adj,20000,0,3,True,0,1e-06,2 - 2
TS2,AIC,20000,0,3,True,0,1e-06,2 - 2
TS2,BIC,20000,0,3,True,0,1e-06,2 - 2
TS3,R2,10000,0,7,False,2,1e-06,2 - 3
TS3,R2_Adj,10000,0,7,False,2,1e-06,2 - 3
TS3,AIC,10000,0,7,False,2,1e-06,2 - 3
TS3,BIC,10000,0,7,False,2,1e-06,2 - 3
TS4,R2,20000,0,7,True,0,1e-06,2 - 3
TS4,R2_Adj,20000,0,7,True,0,1e-06,2 - 3
TS4,AIC,20000,0,7,True,0,1e-06,2 - 3
TS4,BIC,20000,0,7,True,0,1e-06,2 - 3
TS5,R2,20000,0,3,False,0,1e-06,2 - 2
TS5,R2_Adj,20000,0,3,False,0,1e-06,2 - 2
TS5,AIC,20000,0,3,False,0,1e-06,2 - 2
TS5,BIC,20000,0,3,False,0,1e-06,2 - 2
TS6,R2,20000,0,7,True,0,1e-06,2 - 4
TS6,R2_Adj,20000,0,7,True,0,1e-06,2 - 4
TS6,AIC,20000,0,7,True,0,1e-06,2 - 4
TS6,BIC,20000,0,7,True,0,1e-06,2 - 4
TS7,R2,20000,0,7,False,0,1e-06,2 - 4
TS7,R2_Adj,20000,0,7,False,0,1e-06,2 - 4
TS7,AIC,20000,0,7,False,0,1e-06,2 - 4
TS7,BIC,20000,0,7,False,0,1e-06,2 - 4
