Time Series,IMFs,Metric,alpha,W init,fs,tau,tol
TS1,0 - 1,AIC,20000,10001,0,0,1e-06
TS1,0 - 2,AIC,0,False,0,0,1e-06
TS1,0 - 3,AIC,0,False,0,0,1e-06
TS1,0 - 4,AIC,0,False,0,0,1e-06
TS1,0 - 5,AIC,0,False,0,0,1e-06
TS2,0 - 1,AIC,5000,501,0,0,1e-06
TS2,0 - 2,AIC,10000,1001,0,0,1e-06
TS2,0 - 3,AIC,5000,1001,0,0,1e-06
TS2,0 - 4,AIC,20000,10001,0,0,1e-06
TS2,0 - 5,AIC,0,False,0,0,1e-06
TS3,0 - 1,AIC,20000,10001,0,0,1e-06
TS3,0 - 2,AIC,0,False,0,0,1e-06
TS3,0 - 3,AIC,0,False,0,0,1e-06
TS3,0 - 4,AIC,0,False,0,0,1e-06
TS3,0 - 5,AIC,0,False,0,0,1e-06
TS4,0 - 1,AIC,5000,501,0,0,1e-06
TS4,0 - 2,AIC,5000,1001,0,0,1e-06
TS4,0 - 3,AIC,1000,5001,0,0,1e-06
TS4,0 - 4,AIC,20000,10001,0,0,1e-06
TS4,0 - 5,AIC,0,False,0,0,1e-06
