Time Series,IMFs,Metric,alpha,W init,fs,tau,tol
TS1,0 - 1,R2Adj,5000,1,0,0,1e-06
TS1,0 - 2,R2Adj,5000,1,0,0,1e-06
TS1,0 - 3,R2Adj,0,False,0,0,1e-06
TS1,0 - 4,R2Adj,0,False,0,0,1e-06
TS1,0 - 5,R2Adj,0,False,0,0,1e-06
TS2,0 - 1,R2Adj,500,10001,0,3,1e-06
TS2,0 - 2,R2Adj,20000,10001,0,0,1e-06
TS2,0 - 3,R2Adj,10000,1001,0,0,1e-06
TS2,0 - 4,R2Adj,10000,501,0,0,1e-06
TS2,0 - 5,R2Adj,500,1001,0,0,1e-06
TS3,0 - 1,R2Adj,20000,501,0,0,1e-06
TS3,0 - 2,R2Adj,5000,1,0,0,1e-06
TS3,0 - 3,R2Adj,10000,1,0,0,1e-06
TS3,0 - 4,R2Adj,0,False,0,0,1e-06
TS3,0 - 5,R2Adj,0,False,0,0,1e-06
TS4,0 - 1,R2Adj,500,10001,0,3,1e-06
TS4,0 - 2,R2Adj,20000,10001,0,0,1e-06
TS4,0 - 3,R2Adj,10000,1001,0,0,1e-06
TS4,0 - 4,R2Adj,10000,501,0,0,1e-06
TS4,0 - 5,R2Adj,500,1001,0,0,1e-06
