Time Series,Season,Metric,K,alpha,DC,init,IMFs
TS1,s7,R2,10,0,False,0,2 + 0
TS1,s7,R2_Adj,10,0,False,0,2 + 0
TS1,s7,AIC,10,0,False,0,2 + 0
TS1,s7,BIC,10,0,False,0,2 + 0
TS2,s9,R2,10,20000,False,0,2 + 1
TS2,s9,R2_Adj,10,20000,False,0,2 + 1
TS2,s9,AIC,10,20000,False,0,2 + 1
TS2,s9,BIC,10,20000,False,0,2 + 1
TS3,s8,R2,10,0,False,0,2 + 0
TS3,s8,R2_Adj,10,0,False,0,2 + 0
TS3,s8,AIC,10,0,False,0,2 + 0
TS3,s8,BIC,10,0,False,0,2 + 0
TS4,s9,R2,10,500,False,0,2 + 0
TS4,s9,R2_Adj,10,500,False,0,2 + 0
TS4,s9,AIC,10,500,False,0,2 + 0
TS4,s9,BIC,10,500,False,0,2 + 0
